Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
1,Georgia,7,5,4,4,0,0,46,6.6
2,Michigan,7,12,5,11,1,0,100,14.3
3,Clemson,7,11,8,10,0,1,102,14.6
3,Iowa,7,12,6,12,0,0,102,14.6
3,Cincinnati,7,13,4,12,0,0,102,14.6
6,Penn State,7,9,12,9,2,0,103,14.7
7,San Diego State,7,14,4,12,1,0,110,15.7
8,Texas A&M,8,15,7,14,1,1,129,16.1
9,Purdue,7,12,10,12,0,0,114,16.3
10,North Carolina State,7,15,4,15,0,0,117,16.7
11,Air Force,8,17,5,15,1,0,134,16.8
12,Iowa State,7,15,5,14,0,0,119,17
13,Coastal Carolina,7,15,6,10,1,0,120,17.1
14,Houston,7,15,5,14,1,0,121,17.3
15,Liberty,8,18,6,15,1,0,143,17.9
16,Toledo,8,12,21,9,1,0,146,18.3
17,Wisconsin,7,16,6,13,1,0,129,18.4
18,Ohio State,7,17,4,16,0,0,130,18.6
19,Michigan State,7,14,11,12,1,0,131,18.7
19,Baylor,7,15,9,14,0,0,131,18.7
21,UTSA,8,19,7,15,0,0,150,18.8
22,Arizona State,7,16,7,15,0,0,132,18.9
23,Kentucky,7,16,8,15,0,0,135,19.3
23,UTEP,7,16,8,15,0,0,135,19.3
25,Nebraska,8,18,8,17,1,2,155,19.4
26,Troy,7,15,10,13,1,1,137,19.6
26,Minnesota,7,17,7,14,0,0,137,19.6
26,Pittsburgh,7,18,4,17,0,0,137,19.6
29,Washington,7,15,11,15,0,0,138,19.7
29,Auburn,7,16,9,15,0,0,138,19.7
31,Oklahoma State,7,16,10,15,0,0,141,20.1
32,Colorado State,7,17,8,17,0,0,143,20.4
32,UAB,8,23,2,19,0,0,163,20.4
34,Alabama,8,20,9,18,0,0,165,20.6
35,Boston College,7,17,8,17,0,1,145,20.7
35,Colorado,7,17,9,16,0,0,145,20.7
37,Fresno State,8,21,8,17,0,0,167,20.9
38,Florida Atlantic,7,20,3,18,0,0,147,21
39,Wyoming,7,19,7,13,0,0,148,21.1
39,Florida,7,20,3,19,0,0,148,21.1
41,West Virginia,7,17,11,17,0,0,152,21.7
42,Louisiana-Lafayette,7,20,6,16,0,0,154,22
43,Boise State,7,18,9,16,1,1,155,22.1
43,South Alabama,7,19,6,15,3,1,155,22.1
45,Miami (Ohio),8,23,6,22,0,0,178,22.3
46,Oregon,7,19,7,18,1,1,157,22.4
47,BYU,8,20,13,17,1,1,180,22.5
48,Rutgers,7,20,6,20,0,0,158,22.6
48,Marshall,7,21,4,20,0,0,158,22.6
50,SMU,7,20,8,15,0,0,159,22.7
51,San Jose State,8,19,17,17,0,0,182,22.8
52,Notre Dame,7,18,13,13,1,0,162,23.1
52,Virginia Tech,7,21,5,19,1,0,162,23.1
54,Arkansas,8,23,9,21,1,0,188,23.5
55,California,7,21,7,18,0,0,165,23.6
56,Illinois,8,22,12,20,1,0,190,23.8
57,Appalachian State,7,18,14,16,0,1,168,24
58,South Carolina,8,23,11,23,0,1,196,24.5
59,Kansas State,7,20,11,19,0,0,172,24.6
59,Syracuse,8,23,12,19,2,0,197,24.6
59,Oklahoma,8,25,8,21,1,0,197,24.6
62,Oregon State,7,21,9,20,0,0,173,24.7
63,Eastern Michigan,8,24,10,23,1,0,199,24.9
64,Nevada,7,22,7,22,0,0,175,25
65,Northwestern,7,23,6,20,0,0,176,25.1
65,Washington State,8,24,10,21,2,1,201,25.1
67,Utah,7,22,7,19,3,0,178,25.4
68,New Mexico,8,22,16,22,0,1,204,25.5
69,Buffalo,8,27,5,26,0,1,205,25.6
70,Mississippi State,7,22,9,21,0,0,180,25.7
71,Wake Forest,7,24,6,22,0,0,184,26.3
71,UCLA,8,25,12,22,1,0,210,26.3
73,Florida State,7,23,8,19,2,0,185,26.4
73,Virginia,8,26,10,23,1,0,211,26.4
75,Tennessee,8,27,8,26,0,0,212,26.5
76,Louisville,7,23,10,21,0,0,189,27
77,Western Michigan,8,28,8,24,1,0,218,27.3
78,Charlotte,7,25,6,22,1,0,192,27.4
79,Army,7,27,2,26,0,0,194,27.7
80,USC,7,27,2,27,0,0,195,27.9
80,Ball State,8,27,10,25,1,2,223,27.9
82,Stanford,7,26,5,23,1,0,196,28
83,Mississippi,7,26,5,25,0,1,198,28.3
84,East Carolina,7,25,8,21,2,0,199,28.4
84,Southern Mississippi,7,26,5,26,0,1,199,28.4
84,Central Michigan,8,28,10,23,3,0,227,28.4
87,UCF,7,26,6,26,0,0,200,28.6
88,Utah State,7,24,11,24,0,0,201,28.7
88,Middle Tennessee,7,26,5,24,2,1,201,28.7
90,LSU,8,31,4,28,2,0,230,28.8
91,North Carolina,7,25,8,22,3,0,202,28.9
91,Georgia Tech,7,26,6,24,2,0,202,28.9
91,Bowling Green,8,28,12,27,0,0,231,28.9
94,Texas,7,23,16,19,1,0,207,29.6
94,Memphis,8,30,10,27,0,0,237,29.6
96,Maryland,7,25,11,25,0,0,208,29.7
97,Miami (Florida),7,25,11,23,1,1,210,30
98,Arizona,7,27,8,25,1,0,213,30.4
99,Texas Tech,8,32,7,30,0,1,245,30.6
100,Indiana,7,27,8,25,1,1,215,30.7
101,Ohio,8,28,16,25,2,2,249,31.1
102,Old Dominion,7,28,8,26,1,0,220,31.4
103,Northern Illinois,8,33,7,31,1,0,252,31.5
104,Duke,7,28,9,26,0,0,221,31.6
104,TCU,7,28,10,21,1,0,221,31.6
106,Hawai'i,8,32,10,30,1,0,254,31.8
107,Navy,7,30,4,29,0,1,223,31.9
108,South Florida,7,30,6,28,0,0,226,32.3
109,Georgia State,7,28,10,25,1,1,227,32.4
109,Tulsa,7,28,10,25,2,0,227,32.4
111,Western Kentucky,7,29,10,27,0,0,231,33
111,Louisiana Tech,7,30,7,28,0,1,231,33
113,Kent State,8,33,12,31,0,1,267,33.4
114,UNLV,7,30,10,25,1,0,237,33.9
114,Temple,7,31,6,29,1,1,237,33.9
114,Texas State,7,31,6,31,0,1,237,33.9
114,Georgia Southern,7,31,7,28,0,1,237,33.9
118,Louisiana-Monroe,7,33,4,31,0,0,241,34.4
119,North Texas,7,33,5,32,0,0,245,35
120,Vanderbilt,8,36,11,34,0,0,283,35.4
121,Connecticut,9,41,13,39,0,0,324,36
122,Florida International,7,33,9,30,0,0,255,36.4
123,Missouri,7,35,5,35,0,0,260,37.1
124,Rice,7,34,7,33,0,2,262,37.4
125,New Mexico State,8,39,12,36,1,0,308,38.5
126,Akron,8,41,8,39,0,1,311,38.9
127,Kansas,7,40,5,40,0,0,295,42.1
128,Tulane,7,39,9,35,0,0,296,42.3
129,Massachusetts,7,41,7,39,0,1,308,44
129,Arkansas State,7,42,5,41,0,0,308,44